img	label	text	gen	
0	img/01236.png	0	two ladies wearing massive looking all in their fur	mouth and sheep
1	img/01243.png	0	two dogs staring at each other poses outside of a tree	tongue and ear
2	img/01258.png	0	a woman dish with pink frosting while wearing a face and	hair and straw
3	img/01269.png	1	a leafy yellow fire hydrant has been painted like a brightly batter signpost with a car	hand and wall
4	img/01274.png	0	a man sleeping on the ground in a chair with his tie in his though looking u	nose and eyes
5	img/01275.png	0	two pug holding a headphones on a spacious	tie and hair
6	img/01293.png	0	an saying shaped females of a very large pile of water coming from <unk>	butterfly and cake
7	img/01329.png	1	two men backpack on a bench posts to his face	man and hat
8	img/01348.png	0	a man that are sitting in a field	mouth and sheep
9	img/01439.png	0	a man is standing next to a cow on a mountain	head and sky
10	img/01452.png	0	an elephant snack over a fence	eye and eye
11	img/01465.png	0	a picture of several children and a high does and a number of pug and windows	hat and belt
12	img/01467.png	0	a person talking on a cell phone to picture	hair and shirt
13	img/01468.png	0	a beautiful table filled with stove on the shelf with containing all over	toilet and toilet
14	img/01483.png	0	people sitting around relaxing of people	shirt and man
15	img/01487.png	1	a man near a giant sign that party	glasses and sign
16	img/01497.png	1	a lady standing by a skateboard	beard and label
17	img/01526.png	0	a pair of women on a computer as she rows a laptop on a building	keyboard and keyboard
18	img/01527.png	0	a lady ridding in a parking lot	hand and hand
19	img/01547.png	0	four people sitting around a meal backpack	carrots and man
20	img/01564.png	0	girl in red goes and picture	ear and nose
21	img/01568.png	1	a man with stalk and looking u at it's styrofoam and head in his desktop	tattoo and nose
22	img/01569.png	0	two children deep and other men and food	window and hair
23	img/01578.png	1	a group of people playing around a frisbee	head and girl
24	img/01579.png	1	the woman is dressed up at the right hand with a deserts	ring and backpack
25	img/01637.png	1	there tier to have a syrup to wit sign	handlebar and window
26	img/01642.png	1	man in an flyer tie in posing with a bright tie racing shirt and name <unk>	button and glasses
27	img/01643.png	0	a baby that man sits training takes a girl reading a laptop computer keyboard and between his laptop	hair and man
28	img/01653.png	0	a woman with it's same clothes sitting up in the mirror holding a cat kayaks up in the camera with an animal cat frying mannequin green snowboarding from a cat by a biplane	hand and ear
29	img/01682.png	1	the sandwich looks like curve and contents on top of a retriever sub sandwich	hand and hand
30	img/01763.png	0	three tour in hand on a wooden table	handle and table
31	img/01793.png	1	a black and black and black and black and black and black horse next to a horse boarding calico	tree and tree
32	img/01823.png	0	a kiss who is wearing glasses cardinal his face to his face	nose and ear
33	img/01829.png	0	the man sitting in front of a chair near a man sits	mouth and man
34	img/01842.png	0	a close up of a brown dog is tow calculator while hay partially a dog	dog and dog
35	img/01894.png	0	a little siamese per	hair and nose
36	img/01896.png	0	a man wearing a black wait cardinal his tie poses for a picture	shirt and hair
37	img/01924.png	1	a group of snowsuit pictures of animals including each other a dog teenage suits posing for pictures	sign and bag
38	img/01954.png	0	a onlookers set woman near a car making a picture	dress and wall
39	img/01974.png	1	a person decorated the festive art wedged	hair and man
40	img/02153.png	0	close up of a lot of different eight equipment on the table	foot and paper
41	img/02158.png	1	this picture of a look like the neck tie decorated dalmatian surf in a photo was a small bird	head and bird
42	img/02165.png	0	there is a man with glasses and a tie and a black hat and wearing glasses and a black dress shirt and tie carrying a black shirt and glasses and a hat on the side up mom and black hanging care a right hand region	man and shirt
43	img/02168.png	0	the man is wearing a only shirt and a face in inside	ear and man
44	img/02315.png	0	the older para making on top of building	tie and shirt
45	img/02358.png	1	this is a woman poses outside with the camera	eyebrow and eyebrow
46	img/02365.png	0	a person with a red volleyball while holding a hat	camera and camera
47	img/02367.png	0	puppy are parked next to an fake truck and a microwave of parking <unk>	horse and man
48	img/02371.png	0	a man and a young man eating a man organized another man monument his ball in front of another man takes pictures	tie and tie
49	img/02385.png	0	a man riding a horse wearing helmets are riding on the back of brown horse around suit same	basket and tongue
50	img/02413.png	0	a pitcher woman eats one eye view and his combing decorated off a brown altitude on	nose and face
51	img/02431.png	1	a man holding a piece of luggage	hair and belt
52	img/02439.png	0	an old lady in a red shirt and fancy old fashioned in the old fashioned double decker bus	window and sign
53	img/02461.png	0	a man standing on a bed on her face	flag and tie
54	img/02475.png	0	a men with dogs being leash	dog and glasses
55	img/02483.png	0	a cliff metal with an shoulders	boat and buildings
56	img/02497.png	0	a man wearing a blue tie and a blue ball and a camera	ear and nose
57	img/02519.png	1	a man posing while smiling in a microwave	man and hat
58	img/02536.png	0	the cement building with no doors opened	car and bench
59	img/02537.png	0	a pool man hands holding teddy bear sitting on a bench posing next to a large breaded tie	button and hair
60	img/02538.png	0	the large bird sitting on a tree	beak and head
61	img/02543.png	0	a close up of beverage other donuts that has a very close up along a desk	hair and man
62	img/02571.png	0	a man and two small women on one of a white wall	head and woman
